incident_id,namespace,classifications.Annotator,classifications.Annotation Status,classifications.Reviewer,classifications.Quality Control,classifications.Full Description,classifications.Short Description,classifications.Beginning Date,classifications.Ending Date,classifications.Location,classifications.Near Miss,classifications.Named Entities,classifications.Technology Purveyor,classifications.Intent,classifications.Severity,classifications.Lives Lost,classifications.Harm Distribution Basis,classifications.Harm Type,classifications.Infrastructure Sectors,classifications.Financial Cost,classifications.Laws Implicated,classifications.AI System Description,classifications.Data Inputs,classifications.System Developer,classifications.Sector of Deployment,classifications.Public Sector Deployment,classifications.Nature of End User,classifications.Level of Autonomy,classifications.Relevant AI functions,classifications.AI Techniques,classifications.AI Applications,classifications.Physical System,classifications.Problem Nature,classifications.Publish
87,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,CSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,CSETv1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,CSETv1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,CSETv1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,CSETv1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,CSETv1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,CSETv1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,CSETv1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,GMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CSETv1_Annotator-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,CSETv1_Annotator-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CSETv1_Annotator-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
